"(0, 0, 0)","(0, 0, 128)","(0, 0, 255)","(0, 128, 0)","(0, 128, 128)","(0, 128, 255)","(0, 255, 0)","(0, 255, 128)","(0, 255, 255)","(128, 0, 0)","(128, 0, 128)","(128, 0, 255)","(128, 128, 0)","(128, 128, 128)","(128, 128, 255)","(128, 255, 0)","(128, 255, 128)","(128, 255, 255)","(255, 0, 0)","(255, 0, 128)","(255, 0, 255)","(255, 128, 0)","(255, 128, 128)","(255, 128, 255)","(255, 255, 0)","(255, 255, 128)","(255, 255, 255)",end_frame,end_time,img_path,length,middle_frame,start_frame,start_time
5266.183384773714,4702.530711484095,3864.0211280435833,4728.008734139259,4164.3560608495945,3325.846477409082,3941.183296360567,3377.5306230709407,2539.021039630459,4866.695181219916,4303.042507930296,3464.5329244897907,4328.520530585581,3764.8678572959566,2926.358273855451,3541.6950928069546,2978.042419517319,2139.532836076819,3969.1818174510445,3405.529144161428,2567.0195607209916,3431.00716681672,2867.354493527099,2028.844910086588,2644.1817290380754,2080.529055748451,1242.0194723079499,97.0,3.2365666666666666,temp_imgs\Baby_Im_Back_IV\0000.png,00:00:03.237,48.0,0.0,0.0
4079.855784893722,4412.220887988693,2783.497307420267,4598.588177297679,4930.953280392718,3302.2296998242423,2900.67655821331,3233.0416613083053,1604.318080739885,4838.6953205375585,5171.060423632577,3542.33684306413,5357.427712941572,5689.792816036515,4061.069235468119,3659.5160938571753,3991.8811969521735,2363.157616383748,3267.1949749228393,3599.560078017845,1970.8364974494225,3785.9273673268235,4118.292470421834,2489.5688898533926,2088.015748242455,2420.3808513374493,791.6572707690324,180.0,6.006,temp_imgs\Baby_Im_Back_IV\0001.png,00:00:02.769,138.0,97.0,3.2365666666666666
6101.1791918509825,4453.96027038322,4299.327144418711,5212.902421446319,3565.683499978561,3411.0503740140693,4691.031416109394,3043.8124946416324,2889.1793686771207,5386.2927892446705,3739.073867776889,3584.440741812402,4498.016018839994,2850.797097372257,2696.1639714077533,3976.1450135030727,2328.9260920353254,2174.2929660708205,4962.257764274679,3315.0388428069123,3160.405716842399,4073.9809938700196,2426.7620724022704,2272.1289464377564,3552.1099885330814,1904.8910670653297,1750.257941100821,204.0,6.8068,temp_imgs\Baby_Im_Back_IV\0002.png,00:00:00.801,192.0,180.0,6.006
2982.2902574159802,3223.767259302135,2621.441727752058,3428.6904149519914,3670.167416838141,3067.8418852880877,2797.606899434151,3039.0839013203195,2436.75836977024,3864.324931412896,4105.801933299053,3503.4764017489892,4310.725088948892,4552.202090835041,3949.8765592849786,3679.6415734310885,3921.118575317217,3318.793043767156,3265.9863709919236,3507.4633728781073,2905.13784132802,3712.38652852796,3953.8635304140953,3351.5379988640284,3081.303013010116,3322.7800148962733,2720.4544833461946,308.0,10.276933333333334,temp_imgs\Baby_Im_Back_IV\0003.png,00:00:03.470,256.0,204.0,6.8068
5820.2681809414,5457.436701603271,3879.683783972095,5337.245003322246,4974.413523984099,3396.6606063529275,3935.259904942609,3572.428425604453,1994.6755079732775,4985.5310303069755,4622.6995509688395,3044.94663333766,4502.507852687781,4139.676373349627,2561.923455718455,3100.5227543081633,2737.691274969995,1159.9383573388238,4392.7719585905825,4029.9404792524256,2452.1875616212537,3909.7487809713994,3546.917301633233,1969.1643840020567,2507.763682591763,2144.932203253598,567.1792856224282,399.0,13.3133,temp_imgs\Baby_Im_Back_IV\0004.png,00:00:03.036,353.0,308.0,10.276933333333334
4334.090952932122,4624.842689043248,3242.3919136874224,4364.789919838818,4655.54165594997,3273.0908805940917,3371.183805405495,3661.935541516589,2279.484766160807,3947.1444374784846,4237.896173589589,2855.4453982338187,3977.843404385306,4268.595140496397,2886.144365140608,2984.237289952,3274.989026063102,1892.538250707302,3745.2541071887135,4036.0058432998094,2653.555067944063,3775.9530740955183,4066.704810206616,2684.254034850818,2782.3469596622194,3073.0986957733185,1690.6479204175196,485.0,16.182833333333335,temp_imgs\Baby_Im_Back_IV\0005.png,00:00:02.870,442.0,399.0,13.3133
3029.7317413623136,3834.3859578618126,2664.2665359224998,3734.152951924729,4538.8071684242295,3368.6877464849294,2696.782337748623,3501.436554248126,2331.317132308819,3519.687561621227,4324.341778120722,3154.2223561814176,4224.10877218363,5028.762988683127,3858.643566743809,3186.738158007558,3991.392374507033,2821.2729525677332,3273.2161243998626,4077.870340899367,2907.7509189600637,3977.6373349622945,4782.291551461781,3612.172129522472,2940.266720786192,3744.9209372856753,2574.8015153463775,686.0,22.889533333333333,temp_imgs\Baby_Im_Back_IV\0006.png,00:00:06.707,585.0,485.0,16.182833333333335
7688.122615526454,6145.739786951344,5168.154937199956,6139.679226680422,4597.296398105321,3619.7115483539537,5143.048718278503,3600.665889703387,2623.081039952016,6010.811846279215,4468.429017704077,3490.8441679527223,4462.36845743316,2919.985628858025,1942.4007791066563,3465.7379490312514,1923.3551204561065,945.7702707047323,5068.000559949459,3525.617731374347,2548.032881622964,3519.5571711034386,1977.1743425282943,999.5894927769201,2522.9266627014945,980.5438341263756,2.958984375,784.0,26.159466666666667,temp_imgs\Baby_Im_Back_IV\0007.png,00:00:03.270,735.0,686.0,22.889533333333333
5044.117420589031,4786.717354145276,3753.827905306955,4679.867337534325,4422.467271090553,3389.577822252186,3794.965146497747,3537.565080053962,2504.675631215679,4586.873864025986,4329.473797582227,3296.5843487439192,4222.623780971391,3965.223714527613,2932.334265689307,3337.7215899348585,3080.3215234910826,2047.4320746527756,3704.376336912662,3446.976270468881,2414.086821630635,3340.1262538580418,3082.7261874142655,2049.836738575958,2455.224062821509,2197.823996377738,1164.9345475394375,1044.0,34.8348,temp_imgs\Baby_Im_Back_IV\0008.png,00:00:08.675,914.0,784.0,26.159466666666667
3513.491734717936,3314.8802779921134,3456.204638738864,3334.631692601178,3136.0202358753445,3277.3445966221025,3695.5696346665013,3496.9581779406794,3638.282538687417,3084.1356765474907,2885.5242198216756,3026.8485805684313,2905.2756344307245,2706.664177704901,2847.98853845165,3266.213576496064,3067.6021197702316,3208.9264805169764,3986.561171124826,3787.9497143990193,3929.2740751457663,3807.7011290080713,3609.089672282221,3750.414033028987,4168.639071073398,3970.027614347567,4111.351975094312,1061.0,35.402033333333335,temp_imgs\Baby_Im_Back_IV\0009.png,00:00:00.567,1052.0,1044.0,34.8348
3643.584220143175,4374.323323902606,3006.7148357124456,4373.177554869682,5103.91665862911,3736.30817043896,2867.1863184799527,3597.92542223937,2230.3169340492154,4094.946424361287,4825.685528120726,3458.077039930567,4824.539759087798,5555.278862847215,4187.670374657078,3318.5485226980504,4049.2876264574893,2681.679138267318,2897.262771669236,3628.0018754286707,2260.3933872385114,3626.8561063957472,4357.5952101551775,2989.9867219650255,2120.8648700060007,2851.6039737654287,1483.9954855752733,1107.0,36.9369,temp_imgs\Baby_Im_Back_IV\0010.png,00:00:01.535,1084.0,1061.0,35.402033333333335
464.9011890217766,2531.0996281292882,1659.1366517704043,2759.6032209147793,4825.801660022291,3953.8386836633995,1170.3573816872436,3236.5558207947543,2364.5928444358724,2162.1015303497916,4228.2999694573155,3356.3369930984195,4456.803562242799,6523.002001350299,5651.039024991425,2867.557723015261,4933.756162122778,4061.793185763889,1732.651256001373,3798.8496951088905,2926.8867187500064,4027.353287894381,6093.55172700189,5221.588750643002,2438.107448666841,4504.30588777436,3632.3429114154696,1200.0,40.04,temp_imgs\Baby_Im_Back_IV\0011.png,00:00:03.103,1153.0,1107.0,36.9369
984.1756097822367,2381.270908350478,2217.9780414094607,2393.349167309675,3790.4444658779307,3627.1515989369022,1537.6170937285654,2934.712392296817,2771.419525355799,2074.2817134987968,3471.3770120670442,3308.0841451260303,3483.4552710262396,4880.550569594482,4717.257702653478,2627.723197445142,4024.8184960133876,3861.525629072359,2869.10043188443,4266.195730452675,4102.902863511657,4278.27398941187,5675.369287980119,5512.076421039101,3422.541915830772,4819.637214399009,4656.344347458003,1401.0,46.746700000000004,temp_imgs\Baby_Im_Back_IV\0012.png,00:00:06.707,1300.0,1200.0,40.04
2212.4426922582315,4068.172887731481,1541.0381247856628,4094.6442311814094,5950.374426654668,3423.2396637088614,1537.698112247085,3393.4283077203463,866.2935447745209,4089.384095829047,5945.114291302299,3417.9795283564918,5971.585634752244,7827.315830225463,5300.18106727966,3414.639515817909,5270.36971129116,2743.2349483453295,1753.0086323302453,3608.738827803508,1081.6040648576839,3635.2101712534404,5490.940366726681,2963.805603780869,1078.2640523191035,2933.994247792355,406.8594848465362,1424.0,47.514133333333334,temp_imgs\Baby_Im_Back_IV\0013.png,00:00:00.767,1412.0,1401.0,46.746700000000004
2450.059751157409,3408.5023389274756,2535.4513085133694,3157.99708236883,4116.4396701388905,3243.3886397247957,2218.9597586591203,3177.4023464291913,2304.3513160150883,3461.887267982697,4420.329855752749,3547.278825338668,4169.824599194108,5128.267186964183,4255.216156550062,3230.787275484415,4189.229863254469,3316.178832840379,2730.920527370544,3689.363115140629,2816.3120847265204,3438.857858581983,4397.300446352034,3524.2494159379344,2499.820534872255,3458.2631226423323,2585.2120922282206,1456.0,48.58186666666667,temp_imgs\Baby_Im_Back_IV\0014.png,00:00:01.068,1440.0,1424.0,47.514133333333334
0.0,2800.7062810785415,519.1759929055213,2914.984592013896,5715.690873092423,3434.160584919417,456.00986207561726,3256.7161431541626,975.185854981138,2797.1466933513448,5597.852974429884,3316.3226862568567,5712.131285365243,8512.837566443743,6231.30727827076,3253.1565554269555,6053.862836505503,3772.332548332482,493.13897462277123,3293.845255701313,1012.3149675282913,3408.12356663667,6208.82984771519,3927.299559542184,949.1488366983897,3749.8551177769295,1468.3248296039128,1485.0,49.5495,temp_imgs\Baby_Im_Back_IV\0015.png,00:00:00.968,1470.0,1456.0,48.58186666666667
1172.3263567386853,3229.2432806069983,1316.9822825574415,2935.417588305899,4992.334512174219,3080.073514124676,1152.2910638503108,3209.207987718638,1296.9469896690678,3432.8292154278283,5489.746139296125,3577.4851412465887,5195.920446995024,7252.837370863337,5340.576372813805,3412.7939225394603,5469.710846407765,3557.4498483582106,1470.9047094693085,3527.821633337633,1615.5606352880695,3233.9959410365527,5290.912864904837,3378.651866855305,1450.8694165809354,3507.786340449254,1595.5253423996924,1527.0,50.950900000000004,temp_imgs\Baby_Im_Back_IV\0016.png,00:00:01.401,1506.0,1485.0,49.5495
0.0,2315.7679719650187,1062.3495959790835,2230.729038065834,4546.497010030876,3293.0786340449126,1152.2475217549743,3468.0154937200004,2214.5971177340425,1819.9655778463637,4135.733549811389,2882.3151738254405,4050.694615912208,6366.462587877239,5113.044211891315,2972.2130996013393,5287.981071566377,4034.5626955804164,1553.061007694615,3868.8289796596314,2615.4106036736907,3783.7900457604583,6099.558017725513,4846.139641739551,2705.3085294495786,5021.076501414607,3767.65812542866,1564.0,52.18546666666667,temp_imgs\Baby_Im_Back_IV\0017.png,00:00:01.235,1545.0,1527.0,50.950900000000004
