"(0, 0, 0)","(0, 0, 128)","(0, 0, 255)","(0, 128, 0)","(0, 128, 128)","(0, 128, 255)","(0, 255, 0)","(0, 255, 128)","(0, 255, 255)","(128, 0, 0)","(128, 0, 128)","(128, 0, 255)","(128, 128, 0)","(128, 128, 128)","(128, 128, 255)","(128, 255, 0)","(128, 255, 128)","(128, 255, 255)","(255, 0, 0)","(255, 0, 128)","(255, 0, 255)","(255, 128, 0)","(255, 128, 128)","(255, 128, 255)","(255, 255, 0)","(255, 255, 128)","(255, 255, 255)",end_frame,end_time,img_path,length,middle_frame,start_frame,start_time
12288.0,8192.0,8192.0,8192.0,4096.0,4096.0,8192.0,4096.0,4096.0,8192.0,4096.0,4096.0,4096.0,0.0,0.0,4096.0,0.0,0.0,8192.0,4096.0,4096.0,4096.0,0.0,0.0,4096.0,0.0,0.0,6226.0,259.67608333333334,temp_imgs\LAWRENCE OF ARABIA\0000.png,00:04:19.676,3113.0,0.0,0.0
8287.159644525866,7392.089972350855,6190.817156421487,5904.67044967419,5009.6007774991285,3808.3279615697857,5344.253916966736,4449.184244791655,3247.911428862314,5678.062207968953,4782.992535793894,3581.7197198645854,3295.5730131172913,2400.5033409421935,1199.2305250128618,2735.1564804098125,1840.0868082347429,638.8139923053845,5039.368079668261,4144.298407493147,2943.0255915638095,2656.8788848165314,1761.8092126414651,560.5363967121056,2096.4623521090552,1201.3926799339913,0.11986400462962954,6485.0,270.4785416666667,temp_imgs\LAWRENCE OF ARABIA\0001.png,00:00:10.802,6355.0,6226.0,259.67608333333334
3468.31085766033,3813.7914684070815,2122.0744036136866,4680.847656250006,5026.328266996771,3334.611202203418,2362.1666827417794,2707.647293488511,1015.9302286951317,4859.413135502403,5204.893746249129,3513.1766814557814,6071.9499340920875,6417.430544838803,4725.713480045468,3753.268960583851,4098.749571330586,2407.0325065372335,2452.380628965177,2797.8612397119177,1106.1441749185547,3664.917427554871,4010.398038301598,2318.6809735082466,1346.2364540466406,1691.71706479338,0.0,8905.0,371.4127083333333,temp_imgs\LAWRENCE OF ARABIA\0002.png,00:01:40.934,7695.0,6485.0,270.4785416666667
1999.5265560699609,3765.0362198859816,1090.017717442559,4739.854721257766,6505.364385073784,3830.345882630279,1559.6587791495185,3325.1684429655315,650.1499405221203,4399.2508278678015,6164.760491683817,3489.741989240387,7139.578993055617,8905.088656871587,6230.070154428199,3959.3830509473414,5724.89271476338,3049.8742123199504,1351.3046580289786,3116.8143218449854,441.79581940157783,4091.6328232166998,5857.142487032792,3182.1239845892983,911.4368811085408,2676.946544924546,1.9280424811385461,9249.0,385.76037499999995,temp_imgs\LAWRENCE OF ARABIA\0003.png,00:00:14.348,9077.0,8905.0,371.4127083333333
4084.62345143176,4346.465709126362,2594.8736738040016,5187.337140453565,5449.179398148166,3697.5873628257855,2960.3088509516547,3222.151108646273,1470.5590733239005,4798.814123585414,5060.656381280022,3309.0643459576386,5901.527812607196,6163.370070301775,4411.778034979406,3674.499523105281,3936.3417807999017,2184.749745477528,2731.5516975308574,2993.393955225482,1241.8019199031207,3834.26538655264,4096.107644247254,2344.515608924884,1607.2370970507457,1869.0793547453686,117.48731942301082,9437.0,393.60154166666666,temp_imgs\LAWRENCE OF ARABIA\0004.png,00:00:07.841,9343.0,9249.0,385.76037499999995
5116.967512217077,4886.8819524820265,3196.7121592078165,5859.346480088333,5629.260920353253,3939.091127079059,3648.261812521437,3418.1762527863416,1728.006459512181,5172.271283436128,4942.185723701131,3252.0159304269873,5914.650251307439,5684.564691572358,3994.3948982981956,3703.5655837406002,3473.4800240054924,1783.3102307313172,3392.480809006345,3162.395249271243,1472.2254559970863,4134.859776877582,3904.7742171424834,2214.604423868312,1923.7751093107015,1693.6895495756135,3.5197563014403284,9507.0,396.521125,temp_imgs\LAWRENCE OF ARABIA\0005.png,00:00:02.920,9472.0,9437.0,393.60154166666666
7855.469387645781,5329.078387560009,4999.092681005647,6510.021631730149,3983.6306316443774,3653.6449250900164,5663.184927983573,3136.793927897797,2806.8082213434436,6272.130130637046,3745.7391305512606,3415.753423996909,4926.6823747213875,2400.2913746356276,2070.305668081277,4079.8456709747793,1553.454670889061,1223.4689643347094,5558.259438764594,3031.868438678831,2701.882732124476,4212.811682848923,1686.4206827631995,1356.4349762088455,3365.9749791023464,839.5839790166342,509.5982724622773,9722.0,405.48841666666664,temp_imgs\LAWRENCE OF ARABIA\0006.png,00:00:08.967,9614.0,9507.0,396.521125
5953.792799961414,5244.159513245895,3884.2583027906353,5910.8466515560995,5201.21336484052,3841.3121543853044,4212.1429157021685,3502.50962898662,2142.608418531389,5193.147617669756,4483.51433095419,3123.613120498991,5150.201469264407,4440.568182548869,3080.66697209362,3451.4977334105115,2741.8644466949613,1381.9632362397128,3811.3042454346732,3101.670958719135,1741.7697482638869,3768.358097029339,3058.7248103137827,1698.823599858543,2069.6543611754096,1360.0210744598796,0.11986400462962954,9817.0,409.4507083333333,temp_imgs\LAWRENCE OF ARABIA\0007.png,00:00:03.962,9769.0,9722.0,405.48841666666664
7283.948653442211,5139.628340942207,4565.188129608177,6379.514625664424,4235.1943131644275,3660.7541018304028,5257.356853888027,3113.03654138803,2538.596330054007,5864.040739669079,3719.7204271690935,3145.280215835057,4959.606711891306,2815.286399391292,2240.8461880572722,3837.4489401148926,1693.1286276148826,1118.6884162808667,4989.115285279503,2844.7949727794976,2270.3547614454683,4084.681257501729,1940.3609450017166,1365.920733667696,2962.5234857253104,818.2031732253098,243.76296189128948,9980.0,416.2491666666666,temp_imgs\LAWRENCE OF ARABIA\0008.png,00:00:06.798,9898.0,9817.0,409.4507083333333
4742.31634462877,4142.560723701125,3152.0895008144803,4965.6823907965045,4365.926769868839,3375.455546982154,3888.9057704261,3289.150149498449,2298.6789266117976,4682.50868323475,4082.7530623070975,3092.281839420443,4905.8747294024315,4306.119108474796,3315.647885588114,3829.0981090320624,3229.3424881044148,2238.8712652177537,3709.6184306412933,3109.8628097136307,2119.391586826985,3932.984476808958,3333.228855881335,2342.757632994673,2856.2078564386247,2256.4522355109784,1265.981012624313,10066.0,419.8360833333333,temp_imgs\LAWRENCE OF ARABIA\0009.png,00:00:03.587,10023.0,9980.0,416.2491666666666
