,color,fullpath,length
56,Black,E:\CLOUD FILM MEDIA\PROXIES\A008_01212041_C057_Proxy.mp4,49.083333
57,Black,E:\CLOUD FILM MEDIA\PROXIES\A008_01212042_C058_Proxy.mp4,25.5
58,Black,E:\CLOUD FILM MEDIA\PROXIES\A008_01212042_C059_Proxy.mp4,8.791667
59,Olive and Purple,E:\CLOUD FILM MEDIA\PROXIES\A008_11301827_C001_Proxy.mp4,451.5
60,Gray and Olive,E:\CLOUD FILM MEDIA\PROXIES\A008_11301835_C002_Proxy.mp4,192.333333
61,Gray and Olive,E:\CLOUD FILM MEDIA\PROXIES\A008_11301838_C003_Proxy.mp4,31.5
62,Gray,E:\CLOUD FILM MEDIA\PROXIES\A008_11301839_C004_Proxy.mp4,174.416667
63,Gray and Olive,E:\CLOUD FILM MEDIA\PROXIES\A008_11301842_C005_Proxy.mp4,182.458333
64,Gray and Olive,E:\CLOUD FILM MEDIA\PROXIES\A008_11301845_C006_Proxy.mp4,309.125
65,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A008_11301850_C007_Proxy.mp4,260.208333
66,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A008_11301855_C008_Proxy.mp4,25.0
67,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A008_11301856_C009_Proxy.mp4,146.666667
68,Gray and Olive,E:\CLOUD FILM MEDIA\PROXIES\A008_11301858_C010_Proxy.mp4,60.75
69,Gray and Olive,E:\CLOUD FILM MEDIA\PROXIES\A008_11301859_C011_Proxy.mp4,524.583333
70,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302014_C012_Proxy.mp4,199.958333
71,Gray,E:\CLOUD FILM MEDIA\PROXIES\A008_11302019_C013_Proxy.mp4,194.0
72,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302022_C014_Proxy.mp4,259.041667
73,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A008_11302026_C015_Proxy.mp4,113.75
74,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302029_C016_Proxy.mp4,49.166667
75,Gray and Green,E:\CLOUD FILM MEDIA\PROXIES\A008_11302030_C017_Proxy.mp4,21.166667
76,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302031_C018_Proxy.mp4,42.5
77,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302032_C019_Proxy.mp4,20.458333
78,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302032_C020_Proxy.mp4,30.25
79,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302033_C021_Proxy.mp4,5.25
80,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A008_11302033_C022_Proxy.mp4,6.958333
81,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A008_11302033_C023_Proxy.mp4,7.958333
82,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A008_11302034_C024_Proxy.mp4,14.625
83,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A008_11302034_C025_Proxy.mp4,16.375
