"(0, 0, 0)","(0, 0, 128)","(0, 0, 255)","(0, 128, 0)","(0, 128, 128)","(0, 128, 255)","(0, 255, 0)","(0, 255, 128)","(0, 255, 255)","(128, 0, 0)","(128, 0, 128)","(128, 0, 255)","(128, 128, 0)","(128, 128, 128)","(128, 128, 255)","(128, 255, 0)","(128, 255, 128)","(128, 255, 255)","(255, 0, 0)","(255, 0, 128)","(255, 0, 255)","(255, 128, 0)","(255, 128, 128)","(255, 128, 255)","(255, 255, 0)","(255, 255, 128)","(255, 255, 255)",end_frame,end_time,img_path,length,middle_frame,start_frame,start_time,video_path
12288.0,8192.0,8192.0,8192.0,4096.0,4096.0,8192.0,4096.0,4096.0,8192.0,4096.0,4096.0,4096.0,0.0,0.0,4096.0,0.0,0.0,8192.0,4096.0,4096.0,4096.0,0.0,0.0,4096.0,0.0,0.0,4272.0,178.178,temp_imgs\clips\Scene-001.png,178.178,2136.0,0.0,0.0,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp\temp_clips\2001_A_SPACE_ODYSSEY\Scene-001.mp4
12259.020179612158,8163.138891567776,8163.138891567776,8180.046891075073,4084.165603030687,4084.165603030687,8180.046891075073,4084.165603030687,4084.165603030687,8174.854576581549,4078.9732885371827,4078.9732885371827,4095.8812880443866,0.0,0.0,4095.8812880443866,0.0,0.0,8174.854576581549,4078.9732885371827,4078.9732885371827,4095.8812880443866,0.0,0.0,4095.8812880443866,0.0,0.0,427.0,17.809458333333332,temp_imgs\clips\Scene-002.png,17.809458333333332,213.0,0.0,0.0,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp\temp_clips\2001_A_SPACE_ODYSSEY\Scene-002.mp4
12287.927932633702,8191.927943350696,8191.927943350696,8191.9873247807955,4095.987335497733,4095.987335497733,8191.9873247807955,4095.987335497733,4095.987335497733,8191.940597136106,4095.9406078529205,4095.9406078529205,4095.9999892832648,0.0,0.0,4095.9999892832648,0.0,0.0,8191.940597136106,4095.9406078529205,4095.9406078529205,4095.9999892832648,0.0,0.0,4095.9999892832648,0.0,0.0,23.0,0.9592916666666667,temp_imgs\clips\Scene-003.png,0.9592916666666667,11.0,0.0,0.0,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp\temp_clips\2001_A_SPACE_ODYSSEY\Scene-003.mp4
12267.873322830832,8187.2428144286805,8187.2428144286805,8174.374249828556,4093.743741426453,4093.743741426453,8174.374249828556,4093.743741426453,4093.743741426453,8174.129581404396,4093.49907300229,4093.49907300229,4080.630508401863,0.0,0.0,4080.630508401863,0.0,0.0,8174.129581404396,4093.49907300229,4093.49907300229,4080.630508401863,0.0,0.0,4080.630508401863,0.0,0.0,72.0,3.0029999999999997,temp_imgs\clips\Scene-004.png,3.0029999999999997,36.0,0.0,0.0,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp\temp_clips\2001_A_SPACE_ODYSSEY\Scene-004.mp4
12267.795221943396,8186.498748820764,8186.498748820764,8174.388950510118,4093.0924773875795,4093.0924773875795,8174.388950510118,4093.0924773875795,4093.0924773875795,8174.702744555919,4093.4062714333613,4093.4062714333613,4081.296473122378,0.0,0.0,4081.296473122378,0.0,0.0,8174.702744555919,4093.4062714333613,4093.4062714333613,4081.296473122378,0.0,0.0,4081.296473122378,0.0,0.0,64.0,2.6693333333333333,temp_imgs\clips\Scene-005.png,2.6693333333333333,32.0,0.0,0.0,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp\temp_clips\2001_A_SPACE_ODYSSEY\Scene-005.mp4
12234.920436278262,8171.982759451962,8159.142061042326,8169.681940693741,4106.744263867299,4093.9035654576587,8157.103955011298,4094.166278184854,4081.3255797752195,8163.429840213515,4100.49216338725,4087.6514649776127,4098.1913446286635,35.2536678026406,22.412969393004122,4085.613358946223,22.675682120198903,9.834983710562415,8153.594856502953,4090.6571796766866,4077.816481267051,4088.356360918102,25.41868409207819,12.577985682441703,4075.7783752356613,12.840698409636488,0.0,113.0,4.713041666666666,temp_imgs\clips\Scene-006.png,4.713041666666666,56.0,0.0,0.0,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp\temp_clips\2001_A_SPACE_ODYSSEY\Scene-006.mp4
12149.228094993006,8124.725962362706,8098.6509639702135,8125.945877808057,4101.4437451773065,4075.368746784816,8096.8817542226625,4072.379621591915,4046.3046231994267,8136.073985661071,4111.571853030565,4085.496854638069,4112.791768475573,88.28963584533608,62.214637452846354,4083.727644890179,59.22551225994512,33.15051386745542,8104.154176311791,4079.65204368128,4053.5770452887923,4080.8719591262893,56.36982649605624,30.294828103566537,4051.8078355408993,27.30570291066529,1.230704518175583,114.0,4.75475,temp_imgs\clips\Scene-007.png,4.75475,57.0,0.0,0.0,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp\temp_clips\2001_A_SPACE_ODYSSEY\Scene-007.mp4
12072.270037615568,8074.977776170151,8041.894477666208,8078.054090042262,4080.7618285963854,4047.6785300924435,8039.902876907828,4042.6106154619565,4009.5273169580164,8121.03488833174,4123.742626886032,4090.6593283820775,4126.818940757785,129.52667931241425,96.44338080847048,4088.6677276233463,91.37546617798351,58.292167674039774,8067.633417995655,4070.341156549949,4037.2578580460076,4073.417470421705,76.12520897633746,43.04191047239369,4035.266257287277,37.97399584190672,4.890697337962963,113.0,4.713041666666666,temp_imgs\clips\Scene-008.png,4.713041666666666,56.0,0.0,0.0,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp\temp_clips\2001_A_SPACE_ODYSSEY\Scene-008.mp4
11714.586548354075,7837.300205225222,7778.076780049475,7876.735210905501,3999.4488677768045,3940.2254426010504,7798.35593492813,3921.069591799439,3861.8461666236867,8004.00050636584,4126.714163237198,4067.4907380614377,4166.149168917038,288.86282578875176,229.63940061299738,4087.769892939675,210.48354981138553,151.2601246356311,7882.143858774959,4004.857515646318,3945.6340904705667,4044.292521326169,167.00617819787377,107.7827530221193,3965.913245348805,88.6269022205075,29.403477044753092,558.0,23.273249999999997,temp_imgs\clips\Scene-009.png,23.273249999999997,279.0,0.0,0.0,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp\temp_clips\2001_A_SPACE_ODYSSEY\Scene-009.mp4
12284.71749346256,8188.721316657945,8188.721316657945,8191.251339591877,4095.2551627871126,4095.2551627871126,8191.251339591877,4095.2551627871126,4095.2551627871126,8189.4623306755575,4093.4661538707896,4093.4661538707896,4095.9961768046533,0.0,0.0,4095.9961768046533,0.0,0.0,8189.4623306755575,4093.4661538707896,4093.4661538707896,4095.9961768046533,0.0,0.0,4095.9961768046533,0.0,0.0,1350.0,56.30625,temp_imgs\clips\Scene-010.png,56.30625,675.0,0.0,0.0,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp\temp_clips\2001_A_SPACE_ODYSSEY\Scene-010.mp4
