fullpath,length,objects
temp_clips\Happy_Hounds\Scene-075.mp4,7.828,"['dog', 'person', 'person', 'person', 'person', 'person']"
temp_clips\Happy_Hounds\Scene-076.mp4,16.554,"['dog', 'person', 'person']"
temp_clips\Happy_Hounds\Scene-077.mp4,2.651,"['person', 'person']"
temp_clips\Happy_Hounds\Scene-078.mp4,5.658,"['dog', 'person']"
temp_clips\Happy_Hounds\Scene-079.mp4,4.384,"['dog', 'person', 'person']"
temp_clips\Happy_Hounds\Scene-080.mp4,4.425,"['chair', 'chair', 'chair', 'chair', 'chair', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'dog']"
temp_clips\Happy_Hounds\Scene-081.mp4,3.178,[]
temp_clips\Happy_Hounds\Scene-082.mp4,2.724,"['bird', 'bird']"
temp_clips\Happy_Hounds\Scene-083.mp4,1.787,"['dog', 'person']"
temp_clips\Happy_Hounds\Scene-084.mp4,5.359,"['dog', 'person']"
temp_clips\Happy_Hounds\Scene-085.mp4,2.041,['dog']
temp_clips\Happy_Hounds\Scene-086.mp4,3.14,['dog']
temp_clips\Happy_Hounds\Scene-087.mp4,5.251,['person']
temp_clips\Happy_Hounds\Scene-088.mp4,4.076,['dog']
temp_clips\Happy_Hounds\Scene-089.mp4,1.538,['person']
temp_clips\Happy_Hounds\Scene-090.mp4,5.344,"['dog', 'person', 'person']"
temp_clips\Happy_Hounds\Scene-091.mp4,0.307,['dog']
temp_clips\Happy_Hounds\Scene-092.mp4,3.42,"['dog', 'person']"
temp_clips\Happy_Hounds\Scene-093.mp4,1.641,[]
temp_clips\Happy_Hounds\Scene-094.mp4,5.347,"['dog', 'person']"
temp_clips\Happy_Hounds\Scene-095.mp4,3.84,"['dog', 'person']"
temp_clips\Happy_Hounds\Scene-096.mp4,1.512,[]
temp_clips\Happy_Hounds\Scene-097.mp4,1.381,"['bear', 'dog']"
temp_clips\Happy_Hounds\Scene-098.mp4,3.449,[]
temp_clips\Happy_Hounds\Scene-099.mp4,4.819,"['person', 'umbrella']"
temp_clips\Happy_Hounds\Scene-100.mp4,6.422,"['bottle', 'bird', 'bird', 'bird', 'person']"
temp_clips\Happy_Hounds\Scene-101.mp4,3.755,"['toothbrush', 'person']"
temp_clips\Happy_Hounds\Scene-102.mp4,5.823,[]
temp_clips\Happy_Hounds\Scene-103.mp4,1.155,['person']
temp_clips\Happy_Hounds\Scene-104.mp4,5.361,['person']
temp_clips\Happy_Hounds\Scene-105.mp4,5.548,['person']
temp_clips\Happy_Hounds\Scene-106.mp4,3.818,"['truck', 'car', 'person', 'person', 'car', 'car', 'car', 'person']"
temp_clips\Happy_Hounds\Scene-107.mp4,3.473,['person']
temp_clips\Happy_Hounds\Scene-108.mp4,2.372,['dog']
temp_clips\Happy_Hounds\Scene-109.mp4,0.839,"['dog', 'person']"
temp_clips\Happy_Hounds\Scene-110.mp4,1.816,"['dog', 'person']"
temp_clips\Happy_Hounds\Scene-111.mp4,2.94,"['truck', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'person']"
temp_clips\Happy_Hounds\Scene-112.mp4,2.186,['person']
temp_clips\Happy_Hounds\Scene-113.mp4,4.475,"['dog', 'car', 'person']"
temp_clips\Happy_Hounds\Scene-114.mp4,5.159,['dog']
temp_clips\Happy_Hounds\Scene-115.mp4,2.644,['person']
temp_clips\Happy_Hounds\Scene-116.mp4,5.489,"['sports ball', 'dog', 'person']"
temp_clips\Happy_Hounds\Scene-117.mp4,2.083,[]
temp_clips\Happy_Hounds\Scene-118.mp4,1.919,"['person', 'baseball bat']"
temp_clips\Happy_Hounds\Scene-119.mp4,4.707,"['dog', 'bear']"
temp_clips\Happy_Hounds\Scene-120.mp4,1.72,['person']
temp_clips\Happy_Hounds\Scene-121.mp4,2.387,['bird']
temp_clips\Happy_Hounds\Scene-122.mp4,3.315,['dog']
temp_clips\Happy_Hounds\Scene-123.mp4,2.055,[]
temp_clips\Happy_Hounds\Scene-124.mp4,4.92,[]
temp_clips\Happy_Hounds\Scene-125.mp4,0.456,['dog']
temp_clips\Happy_Hounds\Scene-126.mp4,5.339,['dog']
temp_clips\Happy_Hounds\Scene-127.mp4,5.341,['dog']
temp_clips\Happy_Hounds\Scene-128.mp4,3.022,['dog']
temp_clips\Happy_Hounds\Scene-129.mp4,2.341,"['dog', 'car', 'car', 'person', 'car', 'truck']"
